                                   	;",9;fhtagn.",4;him.,2;more.,2;dreaming.",2;impressions.,1;data.,1;Clay,1;abnormal.,1;Legrasse.,1;Sea,1;pattern.,1;follows:,1;it.,1;wonder.,1;Tartarus.,1;Them.,1;enough!,1;delight.,1;soul.,1;swamp.,1;variable.,1;lives.,1;Babylon.",1;air.,1;incidents.,1;Angell.,1;couplet:,1;address.,1;upset.,1;convexity.,1;meeting.,1;them.,1;madness.,1;now.,1;Them.",1;research.,1;text.,1;mammals.,1;eye.,1;.,1;Webb.,1;reality.,1;description.,1;affiliations.,1;horror.,1;fighting.,1;memories.,1;----------------------------------------------------------------------,1;ritual:,1;22-23.,1;fire.,1;man.,1;part.,1;superstition.,1;painting.,1;steam.,1;mind.,1;visions.,1;cotton.,1;water.,1;1925.,1;Follow.,1;faith.,1;disorder.,1;this:,1;age.,1;die.,1;about.,1;aloud:,1;hopeless.,1;uncle?,1;deliriously.,1;Legrasse.,1;background.,1;stone.,1;"R'lyeh.",1;away.,1;return.,1;before.,1;promises.,1;aboard.,1;China.,1;fountain-head.,1;hitherto.,1;boat.,1;Wilcox.,1;balauced,1;SEA,1;professor.,1;solution.,1;
heaven! -                          	;the,1;
elevated knees.                    	;The,1;
wandering                          	;deliriously.,1;
iridescent flecks                  	;and,1;
waiting to                         	;liberate,1;
Inspector Legrasse;                	;and,1;
escaped denizen                    	;of,1;
duration. Duty                     	;came,1;
general direction                  	;of,1;
Longitude l23DEG43',               	;come,1;
my rational                        	;beliefs,1;
nothing less                       	;than,1;
statue I                           	;now,1;
found. The                         	;rest,1;
picture was                        	;a,1;
item and                           	;the,1;
great to                           	;belong,1;
a narrow                           	;hill,1;lane,1;
deeper and                         	;older,1;
an angle                           	;of,1;which,1;
mounted higher                     	;and,1;
a stop                             	;to,1;
origin. Its                        	;designs,1;
investigation; but                 	;as,1;
was sure,                          	;had,1;
had gone                           	;mad,1;
track down                         	;the,1;
employed a                         	;cutting,1;
gathering who                      	;suspected,1;
of hell.                           	;Had,1;Now,1;
distant hills.                     	;In,1;
suddenly; as                       	;witnesses,1;
beset them,                        	;and,1;
memory of                          	;those,1;
the vice-admiralty                 	;court,2;
reason for                         	;the,1;their,1;
1925 had                           	;broken,1;
S. Latitude                        	;34DEG21,1;47DEG9,1;49DEG51,1;
abhorred area,                     	;but,1;
instinct with                      	;a,1;
as to                              	;hint,1;suggest,1;
study, was                         	;between,1;
Eagerly clearing                   	;the,1;
the American                       	;Archaeological,2;
in vain                            	;concerning,1;
which shouldn't                    	;have,1;
in sight                           	;of,1;
appear here                        	;and,1;
now sold                           	;and,1;
whose nature                       	;authorities,1;
notes had                          	;not,1;
faith of                           	;which,1;
thing "miles                       	;high",1;
liberated Old                      	;Ones,1;
questions. Having                  	;noted,1;
was sighted                        	;April,1;
do was                             	;to,1;
uncle after                        	;encountering,1;
the dream-place                    	;he,1;
